lat,lon
52.37777,4.8883189
52.378983,4.8897182
52.3762402,4.8872083
52.3734518,4.8845672
52.3736915588378,4.88470029830932
52.3711322,4.8843732
52.3707183,4.8851724
52.3713417053222,4.88506889343261
52.3680229187011,4.88474702835083
52.3680229187011,4.88474702835083
52.3680229187011,4.88474702835083
52.3674908,4.8840474
52.36556,4.8865506
52.3655918,4.8876807
52.363464,4.8933781
52.3633002,4.8941957
52.3628196716308,4.89583349227905
52.3628196716308,4.89583349227905
52.3633029,4.8970586
52.3633764,4.8973807
52.3636428,4.8988313
52.3639765,4.9012353
52.3632948,4.9016008
52.3795356750488,4.88783454895019
52.3774305,4.8860349
52.3743896484375,4.88336896896362
52.3714332580566,4.88309907913208
52.3682785034179,4.88281440734863
52.3682136535644,4.88229417800903
52.3654975891113,4.88343048095703
52.3656539916992,4.88384246826171
52.3625297546386,4.89028406143188
52.3625297546386,4.89028406143188
52.3618469238281,4.89289999008178
52.3618850708007,4.89500761032104
52.3618850708007,4.89500761032104
52.3625450134277,4.90048646926879
52.3092508,5.0426827
52.3785694,4.8918083
52.3781634,4.891431
52.377207,4.8905756
52.3772201538085,4.8904595375061
52.3772201538085,4.8904595375061
52.3772201538085,4.8904595375061
52.3774528503418,4.89010047912597
52.3780246,4.8904779
52.3787013,4.8911166
52.37576,4.888418
52.3752816,4.8879387
52.3735802,4.8875825
52.3732185,4.886787
52.3731446,4.8863034
52.370746,4.8865655
52.3690318,4.8871428
52.3690377,4.8864085
52.368534,4.8863261
52.3660466,4.8889823
52.3653869,4.8902866
52.3650625,4.8986834
52.3774375,4.8919531
52.3751356,4.889497
52.3750082,4.8893503
52.3737294,4.8885728
52.3680292,4.8880938
52.3674394,4.8889371
52.3071575,5.0370684
52.3640213,4.9012202
52.3633172,4.9015883